emp_no,first_name,last_name,from_date,title
50814,Aamer,Daescu,1988-09-16,Senior Engineer
61761,Aamer,Feinberg,1992-11-02,Senior Staff
210129,Aamer,Frijda,1986-11-06,Engineer
466972,Aamer,Haldar,1988-03-25,Engineer
299725,Aamer,Holburn,1988-12-08,Engineer
205248,Aamer,Imataki,1988-08-24,Engineer
262801,Aamer,Krider,1994-08-15,Engineer
103641,Aamer,Loncour,1996-03-19,Engineer
100534,Aamer,Luga,1996-04-08,Staff
41743,Aamer,Lunt,1988-05-22,Senior Engineer
39647,Aamer,Massonet,1996-11-26,Engineer
220170,Aamer,McFarlan,1987-10-01,Senior Engineer
101778,Aamer,Peha,1991-09-13,Engineer
88788,Aamer,Picel,1988-10-10,Senior Staff
223399,Aamer,Radivojevic,1999-11-07,Engineer
491629,Aamer,Schapiro,1999-08-23,Senior Engineer
74202,Aamer,Schneeberger,1987-10-15,Senior Engineer
61415,Aamer,Schwartzbauer,1997-04-30,Staff
255361,Aamer,Spell,1995-08-21,Assistant Engineer
272876,Aamer,Standera,1985-12-30,Senior Staff
282485,Aamer,Strandh,1986-03-14,Engineer
23269,Aamer,Szmurlo,1988-05-25,Senior Engineer
235609,Aamer,Talmor,1985-03-11,Senior Staff
70791,Aamod,Avouris,1989-09-24,Senior Engineer
44610,Aamod,Cronan,1990-02-10,Engineer
479463,Aamod,Isard,1992-03-25,Technique Leader
276240,Aamod,Kitsuregawa,1996-08-15,Senior Engineer
260969,Aamod,Leuchs,1987-08-05,Senior Staff
247408,Aamod,Perez,1987-11-06,Engineer
75166,Aamod,Snyers,1996-11-14,Engineer
494473,Aamod,Suri,1986-07-05,Engineer
76816,Aamod,Terlouw,1996-03-18,Engineer
292331,Aamod,Vesna,1998-03-05,Engineer
270783,Aamod,Vilarrasa,1998-02-24,Staff
452891,Abdelaziz,Bennet,1987-03-19,Staff
41147,Abdelaziz,Chimia,1985-08-14,Senior Engineer
449838,Abdelaziz,Cmelik,1990-12-20,Senior Engineer
51639,Abdelaziz,Czap,1987-11-11,Staff
32180,Abdelaziz,Hofman,1985-04-24,Senior Staff
452574,Abdelaziz,Kampfer,1988-06-19,Engineer
287446,Abdelaziz,Krichel,1999-06-25,Engineer
70311,Abdelaziz,Kugler,1987-02-16,Senior Staff
419504,Abdelaziz,Masamoto,1989-06-26,Senior Engineer
25308,Abdelaziz,Mayerwieser,1987-09-03,Senior Engineer
467620,Abdelaziz,Melichar,1994-12-20,Staff
270564,Abdelaziz,Pearson,1988-02-06,Senior Staff
480096,Abdelaziz,Percebois,1987-08-30,Engineer
